births,dayofyear,wday,month,date
8068,1,Thurs,Jan,2015-01-01
10850,2,Fri,Jan,2015-01-02
8328,3,Sat,Jan,2015-01-03
7065,4,Sun,Jan,2015-01-04
11892,5,Mon,Jan,2015-01-05
12425,6,Tues,Jan,2015-01-06
12141,7,Wed,Jan,2015-01-07
12094,8,Thurs,Jan,2015-01-08
11868,9,Fri,Jan,2015-01-09
8014,10,Sat,Jan,2015-01-10
7172,11,Sun,Jan,2015-01-11
11479,12,Mon,Jan,2015-01-12
11924,13,Tues,Jan,2015-01-13
12013,14,Wed,Jan,2015-01-14
12339,15,Thurs,Jan,2015-01-15
11861,16,Fri,Jan,2015-01-16
8280,17,Sat,Jan,2015-01-17
7195,18,Sun,Jan,2015-01-18
10602,19,Mon,Jan,2015-01-19
12242,20,Tues,Jan,2015-01-20
12086,21,Wed,Jan,2015-01-21
11949,22,Thurs,Jan,2015-01-22
11910,23,Fri,Jan,2015-01-23
8235,24,Sat,Jan,2015-01-24
7186,25,Sun,Jan,2015-01-25
11728,26,Mon,Jan,2015-01-26
11882,27,Tues,Jan,2015-01-27
11602,28,Wed,Jan,2015-01-28
11967,29,Thurs,Jan,2015-01-29
11571,30,Fri,Jan,2015-01-30
7987,31,Sat,Jan,2015-01-31
7139,32,Sun,Feb,2015-02-01
11480,33,Mon,Feb,2015-02-02
12079,34,Tues,Feb,2015-02-03
11924,35,Wed,Feb,2015-02-04
11821,36,Thurs,Feb,2015-02-05
11656,37,Fri,Feb,2015-02-06
8285,38,Sat,Feb,2015-02-07
7265,39,Sun,Feb,2015-02-08
11937,40,Mon,Feb,2015-02-09
12291,41,Tues,Feb,2015-02-10
11911,42,Wed,Feb,2015-02-11
12285,43,Thurs,Feb,2015-02-12
11321,44,Fri,Feb,2015-02-13
8390,45,Sat,Feb,2015-02-14
7508,46,Sun,Feb,2015-02-15
11038,47,Mon,Feb,2015-02-16
11952,48,Tues,Feb,2015-02-17
12061,49,Wed,Feb,2015-02-18
11968,50,Thurs,Feb,2015-02-19
11864,51,Fri,Feb,2015-02-20
8343,52,Sat,Feb,2015-02-21
7254,53,Sun,Feb,2015-02-22
11260,54,Mon,Feb,2015-02-23
11941,55,Tues,Feb,2015-02-24
11828,56,Wed,Feb,2015-02-25
11672,57,Thurs,Feb,2015-02-26
11596,58,Fri,Feb,2015-02-27
7989,59,Sat,Feb,2015-02-28
7273,60,Sun,Mar,2015-03-01
11609,61,Mon,Mar,2015-03-02
12402,62,Tues,Mar,2015-03-03
11927,63,Wed,Mar,2015-03-04
11681,64,Thurs,Mar,2015-03-05
11612,65,Fri,Mar,2015-03-06
7980,66,Sat,Mar,2015-03-07
6929,67,Sun,Mar,2015-03-08
11678,68,Mon,Mar,2015-03-09
12282,69,Tues,Mar,2015-03-10
11850,70,Wed,Mar,2015-03-11
12042,71,Thurs,Mar,2015-03-12
10940,72,Fri,Mar,2015-03-13
8217,73,Sat,Mar,2015-03-14
7202,74,Sun,Mar,2015-03-15
11537,75,Mon,Mar,2015-03-16
12312,76,Tues,Mar,2015-03-17
11807,77,Wed,Mar,2015-03-18
11721,78,Thurs,Mar,2015-03-19
12040,79,Fri,Mar,2015-03-20
8080,80,Sat,Mar,2015-03-21
7171,81,Sun,Mar,2015-03-22
11674,82,Mon,Mar,2015-03-23
12333,83,Tues,Mar,2015-03-24
11872,84,Wed,Mar,2015-03-25
12065,85,Thurs,Mar,2015-03-26
11629,86,Fri,Mar,2015-03-27
8071,87,Sat,Mar,2015-03-28
7125,88,Sun,Mar,2015-03-29
11500,89,Mon,Mar,2015-03-30
12362,90,Tues,Mar,2015-03-31
11596,91,Wed,Apr,2015-04-01
12296,92,Thurs,Apr,2015-04-02
11234,93,Fri,Apr,2015-04-03
7981,94,Sat,Apr,2015-04-04
6821,95,Sun,Apr,2015-04-05
11455,96,Mon,Apr,2015-04-06
12334,97,Tues,Apr,2015-04-07
11976,98,Wed,Apr,2015-04-08
11874,99,Thurs,Apr,2015-04-09
11724,100,Fri,Apr,2015-04-10
8092,101,Sat,Apr,2015-04-11
7141,102,Sun,Apr,2015-04-12
11503,103,Mon,Apr,2015-04-13
12309,104,Tues,Apr,2015-04-14
11794,105,Wed,Apr,2015-04-15
11947,106,Thurs,Apr,2015-04-16
11718,107,Fri,Apr,2015-04-17
8028,108,Sat,Apr,2015-04-18
7180,109,Sun,Apr,2015-04-19
11513,110,Mon,Apr,2015-04-20
12173,111,Tues,Apr,2015-04-21
11917,112,Wed,Apr,2015-04-22
11877,113,Thurs,Apr,2015-04-23
11749,114,Fri,Apr,2015-04-24
8101,115,Sat,Apr,2015-04-25
7178,116,Sun,Apr,2015-04-26
11494,117,Mon,Apr,2015-04-27
12221,118,Tues,Apr,2015-04-28
11775,119,Wed,Apr,2015-04-29
11831,120,Thurs,Apr,2015-04-30
12178,121,Fri,May,2015-05-01
8075,122,Sat,May,2015-05-02
7195,123,Sun,May,2015-05-03
11724,124,Mon,May,2015-05-04
12618,125,Tues,May,2015-05-05
11924,126,Wed,May,2015-05-06
11649,127,Thurs,May,2015-05-07
11810,128,Fri,May,2015-05-08
8216,129,Sat,May,2015-05-09
7246,130,Sun,May,2015-05-10
11549,131,Mon,May,2015-05-11
12400,132,Tues,May,2015-05-12
11572,133,Wed,May,2015-05-13
11793,134,Thurs,May,2015-05-14
12306,135,Fri,May,2015-05-15
8337,136,Sat,May,2015-05-16
7354,137,Sun,May,2015-05-17
11708,138,Mon,May,2015-05-18
12469,139,Tues,May,2015-05-19
12352,140,Wed,May,2015-05-20
12246,141,Thurs,May,2015-05-21
12147,142,Fri,May,2015-05-22
8267,143,Sat,May,2015-05-23
7261,144,Sun,May,2015-05-24
7746,145,Mon,May,2015-05-25
12242,146,Tues,May,2015-05-26
12845,147,Wed,May,2015-05-27
12722,148,Thurs,May,2015-05-28
12168,149,Fri,May,2015-05-29
8431,150,Sat,May,2015-05-30
7367,151,Sun,May,2015-05-31
11793,152,Mon,Jun,2015-06-01
11994,153,Tues,Jun,2015-06-02
11890,154,Wed,Jun,2015-06-03
11918,155,Thurs,Jun,2015-06-04
12303,156,Fri,Jun,2015-06-05
8313,157,Sat,Jun,2015-06-06
7230,158,Sun,Jun,2015-06-07
11938,159,Mon,Jun,2015-06-08
12479,160,Tues,Jun,2015-06-09
12123,161,Wed,Jun,2015-06-10
12029,162,Thurs,Jun,2015-06-11
12064,163,Fri,Jun,2015-06-12
8104,164,Sat,Jun,2015-06-13
7292,165,Sun,Jun,2015-06-14
12348,166,Mon,Jun,2015-06-15
12400,167,Tues,Jun,2015-06-16
12192,168,Wed,Jun,2015-06-17
12323,169,Thurs,Jun,2015-06-18
11767,170,Fri,Jun,2015-06-19
8451,171,Sat,Jun,2015-06-20
7580,172,Sun,Jun,2015-06-21
11883,173,Mon,Jun,2015-06-22
12351,174,Tues,Jun,2015-06-23
12292,175,Wed,Jun,2015-06-24
12416,176,Thurs,Jun,2015-06-25
12152,177,Fri,Jun,2015-06-26
8652,178,Sat,Jun,2015-06-27
7371,179,Sun,Jun,2015-06-28
11961,180,Mon,Jun,2015-06-29
12932,181,Tues,Jun,2015-06-30
13033,182,Wed,Jul,2015-07-01
13038,183,Thurs,Jul,2015-07-02
10375,184,Fri,Jul,2015-07-03
7944,185,Sat,Jul,2015-07-04
7164,186,Sun,Jul,2015-07-05
12088,187,Mon,Jul,2015-07-06
13426,188,Tues,Jul,2015-07-07
12788,189,Wed,Jul,2015-07-08
12517,190,Thurs,Jul,2015-07-09
12396,191,Fri,Jul,2015-07-10
8769,192,Sat,Jul,2015-07-11
7591,193,Sun,Jul,2015-07-12
11835,194,Mon,Jul,2015-07-13
12862,195,Tues,Jul,2015-07-14
12853,196,Wed,Jul,2015-07-15
12502,197,Thurs,Jul,2015-07-16
12291,198,Fri,Jul,2015-07-17
8546,199,Sat,Jul,2015-07-18
7681,200,Sun,Jul,2015-07-19
12424,201,Mon,Jul,2015-07-20
13264,202,Tues,Jul,2015-07-21
12519,203,Wed,Jul,2015-07-22
12852,204,Thurs,Jul,2015-07-23
12612,205,Fri,Jul,2015-07-24
8748,206,Sat,Jul,2015-07-25
7836,207,Sun,Jul,2015-07-26
12416,208,Mon,Jul,2015-07-27
13240,209,Tues,Jul,2015-07-28
12739,210,Wed,Jul,2015-07-29
12797,211,Thurs,Jul,2015-07-30
12269,212,Fri,Jul,2015-07-31
8851,213,Sat,Aug,2015-08-01
7907,214,Sun,Aug,2015-08-02
12449,215,Mon,Aug,2015-08-03
